Date,Open,High,Low,Close,Volume
2024-10-15,4.379,4.535,4.291,4.406,6569159.09
2024-10-16,4.407,4.411,4.287,4.314,3164327.04
2024-10-17,4.313,4.35,4.146,4.193,2710997.96
2024-10-18,4.193,4.312,4.173,4.31,2869979.62
2024-10-19,4.311,4.483,4.31,4.432,3363117.5
2024-10-20,4.433,4.594,4.357,4.579,3366066.45
2024-10-21,4.578,4.615,4.334,4.377,3629142.83
2024-10-22,4.378,4.437,4.271,4.322,3090937.0
2024-10-23,4.324,4.332,4.104,4.21,3130845.0
2024-10-24,4.21,4.26,4.143,4.206,3252270.96
2024-10-25,4.206,4.22,3.848,3.996,5549275.62
2024-10-26,3.996,4.061,3.943,4.035,3482001.47
2024-10-27,4.036,4.136,4.007,4.128,2787235.2
2024-10-28,4.129,4.226,4.004,4.132,5064133.38
2024-10-29,4.133,4.251,4.119,4.193,5447880.2
2024-10-30,4.193,4.218,4.119,4.191,4299714.15
2024-10-31,4.192,4.215,3.901,3.959,6741494.0
2024-11-01,3.959,3.996,3.845,3.908,5578717.23
2024-11-02,3.908,3.949,3.823,3.908,3320709.06
2024-11-03,3.908,3.931,3.665,3.784,6064734.41
2024-11-04,3.786,3.839,3.679,3.752,3353577.29
2024-11-05,3.751,3.919,3.746,3.855,3347876.96
2024-11-06,3.856,4.13,3.855,4.111,9391141.87
2024-11-07,4.111,4.199,4.045,4.163,7086769.64
2024-11-08,4.164,4.392,4.116,4.325,11448594.98
2024-11-09,4.324,4.641,4.262,4.63,8503678.87
2024-11-10,4.632,5.478,4.582,5.241,35504372.79
2024-11-11,5.242,5.786,4.972,5.71,21631063.61
2024-11-12,5.71,5.839,5.116,5.308,26930359.43
2024-11-13,5.309,5.429,4.908,5.073,20191236.54
2024-11-14,5.072,5.216,4.686,4.775,13094082.94
2024-11-15,4.777,5.174,4.704,5.161,10257406.37
2024-11-16,5.16,5.803,5.132,5.787,17564833.99
2024-11-17,5.786,6.147,5.304,5.424,18374242.79
2024-11-18,5.425,6.1,5.392,6.008,16117811.2
2024-11-19,6.008,6.044,5.659,5.805,9028491.8
2024-11-20,5.805,6.08,5.532,5.724,13729161.22
2024-11-21,5.724,5.968,5.473,5.93,13681255.17
2024-11-22,5.932,6.687,5.878,6.63,21148336.67
2024-11-23,6.631,9.432,6.585,8.515,60359355.47
2024-11-24,8.515,10.5,8.042,8.825,55980685.72
2024-11-25,8.824,9.359,8.11,8.232,23515306.26
2024-11-26,8.231,8.468,7.55,8.065,20294174.75
2024-11-27,8.065,8.568,7.842,8.456,15952780.89
2024-11-28,8.457,8.752,8.002,8.615,12382641.04
2024-11-29,8.615,9.076,8.44,9.026,16424896.92
2024-11-30,9.027,9.224,8.604,8.945,18065505.49
2024-12-01,8.945,9.388,8.696,9.289,14685246.0
2024-12-02,9.291,10.198,8.455,10.011,30869602.68
2024-12-03,10.011,10.39,9.055,9.78,30261037.54
2024-12-04,9.781,11.649,9.663,10.512,40288736.88
2024-12-05,10.513,11.233,9.895,10.369,25573286.13
2024-12-06,10.37,10.887,10.011,10.673,16867235.82
2024-12-07,10.673,10.928,10.306,10.592,11608605.32
2024-12-08,10.592,10.8,10.1,10.392,9936977.11
2024-12-09,10.393,10.397,7.5,8.468,30556061.58
2024-12-10,8.468,8.718,7.59,8.395,23727142.47
2024-12-11,8.394,9.269,8.023,8.993,16541944.16
2024-12-12,8.993,9.669,8.911,9.061,17978417.97
2024-12-13,9.062,9.234,8.772,9.089,11250987.35
2024-12-14,9.088,9.212,8.347,8.551,10546490.88
2024-12-15,8.553,9.264,8.367,9.028,12168923.08
2024-12-16,9.028,9.204,8.587,8.756,11767882.69
2024-12-17,8.756,8.972,8.379,8.487,9689503.83
2024-12-18,8.49,8.545,7.563,7.679,14284782.32
2024-12-19,7.679,7.802,6.76,6.941,22054262.66
2024-12-20,6.942,7.36,6.01,7.29,23182838.78
2024-12-21,7.291,7.802,6.836,6.973,12411891.98
2024-12-22,6.976,7.27,6.682,6.842,8776666.68
2024-12-23,6.844,7.572,6.654,7.385,10441949.73
2024-12-24,7.384,7.64,7.154,7.552,7945555.67
2024-12-25,7.551,7.678,7.353,7.502,5305255.63
2024-12-26,7.502,7.592,6.881,6.932,5952209.03
2024-12-27,6.933,7.312,6.815,6.91,6318307.4
2024-12-28,6.912,7.184,6.792,7.113,4219904.23
2024-12-29,7.114,7.152,6.81,6.865,3618120.74
2024-12-30,6.867,7.109,6.537,6.704,6758873.72
2024-12-31,6.706,6.929,6.565,6.643,4270052.58
2025-01-01,6.642,7.141,6.52,7.051,4854650.19
2025-01-02,7.052,7.36,7.051,7.177,5662998.77
2025-01-03,7.179,8.044,7.135,7.754,10892070.17
2025-01-04,7.753,7.882,7.604,7.677,5399719.09
2025-01-05,7.678,7.735,7.46,7.671,3864962.36
2025-01-06,7.672,7.988,7.54,7.768,7081416.98
2025-01-07,7.77,7.888,7.006,7.014,12003377.11
2025-01-08,7.013,7.136,6.421,6.76,12158592.89
2025-01-09,6.759,6.847,6.454,6.559,7236598.9
2025-01-10,6.558,6.81,6.482,6.732,6645927.74
2025-01-11,6.731,6.878,6.582,6.742,3109598.81
2025-01-12,6.741,6.817,6.542,6.632,2241615.84
2025-01-13,6.632,6.808,6.0,6.396,10199678.51
2025-01-14,6.397,6.69,6.367,6.665,5174378.72
2025-01-15,6.668,7.196,6.558,7.165,9177823.38
2025-01-16,7.166,7.393,6.847,7.15,10781374.02
2025-01-17,7.154,7.6,7.152,7.503,8017976.75
2025-01-18,7.504,7.589,6.839,7.043,8528830.03
2025-01-19,7.043,7.237,6.11,6.247,18463335.53
